id,name,city,postal_code,department,latitude,longitude,status
151692a1-de31-433b-ad95-d031603c5041,Golf Blue Green Quétigny Grand Dijon,Quetigny,21800,21,47.31090470,5.09052880,verified
5acc7cde-5ead-4d80-8cae-269c1b31ab5c,Golf de la Côte d'Émeraude,Dinan,22100,22,48.45436600,-2.04732700,verified
db2d496f-122a-4256-a640-a45c282b55a6,Golf de Sables d'Or-Fréhel,Fréhel,22240,22,48.63923590,-2.40384900,verified
63a50982-7a87-4e24-a7de-c92dcfc6a11f,Golf de Pléneuf-Val-André,Pléneuf-Val-André,22370,22,48.59508000,-2.53549190,verified
60758a34-fb55-4d0f-b464-060a99d61557,Golf de Saint-Cast,Saint-Cast-le-Guildo,22380,22,48.60951790,-2.23427100,verified
6c9ec7ea-d551-4589-a6cf-2f5c706dc6ca,Golf de la Jonchère,Gouzon,23230,23,46.20619900,2.25407400,verified
5d6cd90a-a28e-4cc8-8a94-2b5ea23d6ce7,Golf Club de Périgueux,Marsac-sur-l'Isle,24430,24,45.19567480,0.67219660,verified
a47e595f-0d5b-41b3-b9b1-87238b187534,Golf Château des Vigiers,Monestier,24240,24,44.79164910,0.28639270,verified
52494f29-24d5-47cc-bd44-5ce9543a99dc,Golf de la Marterie,Saint-Félix-de-Reillac,24260,24,44.99844740,0.87973820,verified
fa934334-ab6e-4fdc-821e-50652d33727f,Lolivarie Golf Club,Saint-Germain-de-Belvès,24170,24,44.80913350,1.01361740,verified
ed799e43-d0d4-4aff-8fc0-ff3f0ccae4d5,Golf de Besançon,La Chevillotte,25620,25,47.21682770,6.15651010,verified
6afcafee-21e7-47bb-90ae-0f65b35b2b5f,Golf d'Albon-Senaud,Albon,26140,26,45.23472110,4.84609000,verified
c29b7185-1fa7-4327-a24d-04de4c2b241d,Golf des Chanalets,Bourg-lès-Valence,26500,26,44.97658530,4.90705150,verified
76289360-7159-4a73-be3b-3f354222f44f,Golf de Valence Saint-Didier,Charpey,26300,26,44.94111600,5.05855300,verified
bd3e875e-f9c5-4fcf-a908-21a9f1f9ad92,Golf de la Valdaine,Montboucher-sur-Jabron,26740,26,44.54119110,4.80050900,verified
848c24d0-30d3-48a3-9d0d-cb44439660ca,Golf Municipal d'Évreux,Évreux,27000,27,49.03350840,1.11830550,verified
49f44822-b62b-4f2e-b218-47a4a642da0d,Golf du Champ de Bataille,Le Neubourg,27110,27,49.16369300,0.85644300,verified
b0dd3213-e769-47b9-b414-78cfc8ed697f,Golf de Chartres-Fontenay,Fontenay-sur-Eure,28630,28,48.39603160,1.42240860,verified
5d53e8b0-c9f1-4e9d-8394-f3895db416d4,Golf Parc Robert Hersant,La Chaussée-d'Ivry,28260,28,48.88353340,1.47401670,verified
9ea2fbd7-f8b9-41aa-8a38-3bbca8d68357,Golf de l'Odet Blue Green,Clohars-Fouesnant,29950,29,47.89736400,-4.06748100,verified
264c3a81-3142-4369-8370-4b9843b584ad,Golf de Cornouaille,La Forêt-Fouesnant,29940,29,47.90519960,-3.97660350,verified
34f428d1-f79c-4e79-90ed-669fcf2a0e3b,Golf de Brest Iroise,Landerneau,29220,29,48.42065420,-4.20901480,verified
ad730b82-3648-4a2e-a5ca-3cb912781b81,Golf de Kerbernez,Plomelin,29700,29,47.94504990,-4.12419670,verified
7b8413c1-370d-4ce9-ab03-1ebf14feb200,Golf des Abers,Plouarzel,29290,29,48.44596800,-4.71768280,verified
8617fadd-8f6f-46d2-a0d5-95b5212e9187,Golf de Bagnols-sur-Cèze,Bagnols-sur-Cèze,30200,30,44.16252000,4.62007500,verified
